name_sk, name_en, uri, file
Funkčné ETCS systémy SR, ETCS running (SVK), http://data.slovensko.sk/set/rinf_sections_of_line/2026-12-21, rinf_sections_of_line.csv
Železničné trate SR, Section of Lines (SVK), http://data.slovensko.sk/set/rinf_etcs-running/2026-12-21, rinf_etcs-running.csv

