Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
Kamanová;0;0;0;0;0;0;0;0;601;436;15065;54;0;0;16156
Kamenica nad Cirochou;114;1;6;0;93;1;11;0;105;12;7924;56;121;105;8097
Kamenica nad Cirochou dvor;0;0;0;0;0;0;0;0;252;12;7937;56;0;0;8257
Kamenný Most nad Hronom;0;0;0;0;0;0;0;0;100;97;5112;5;0;0;5314
Kamenín;0;0;0;0;0;0;0;0;100;97;5112;5;0;0;5314
Kapince;;3;0;;;3;0;;;67;8;;3;3;75
Kapušany pri Prešove;452;263;368;1;457;105;562;5;1291;351;15027;58;1084;1129;16727
Katúň;;0;0;;;0;0;;;6;144;;0;0;150
Kaňová;;;0;0;;;0;0;;;379;2;0;0;381
Kechnec;0;0;0;0;0;0;0;0;2420;784;4846;11;0;0;8061
Kendice;0;0;0;0;0;0;0;0;3433;1717;24874;244;0;0;30268
Kežmarok;112;52;721;2;113;47;732;0;35;17;5500;5;887;892;5557
Kežmarok zastávka;0;0;0;0;0;0;0;0;236;22;8477;5;0;0;8740
Kežmarok-Pradiareň;0;0;0;0;0;0;0;0;236;22;8477;5;0;0;8740
Kluknava;0;0;0;0;0;0;0;0;11159;1475;31099;85;0;0;43818
Kláštor pod Znievom;0;0;0;0;0;0;0;0;2147;715;15744;141;0;0;18747
Klčovany;0;0;0;0;0;0;0;0;1440;1124;10141;3;0;0;12708
Kmeťovo;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Kochanovce;0;0;0;0;0;0;0;0;378;7;7802;56;0;0;8243
Kociha;0;0;0;0;0;0;0;0;53;92;7494;4;0;0;7643
Kokava nad Rimavicou;12;3;972;;11;4;977;;0;4;6387;;987;992;6391
Kokava nad Rimavicou-Liešnica;0;0;0;;0;0;0;;23;11;6416;;0;0;6450
Komjatice;9;5;2;0;2;12;9;1;417;324;10221;54;16;24;11016
Komárany;0;0;0;0;0;0;0;0;1233;417;8815;39;0;0;10504
Komárno;531;353;9327;2;540;344;9328;3;3116;883;4;3;10213;10215;4006
Komárno St. 4;0;0;0;;0;0;0;;357;39;1;;0;0;397
Komárno zriaďovacia stanica;85;115;0;0;78;126;0;1;2002;1180;8986;8;200;205;12176
Komárno závody;0;0;0;;0;0;0;;1800;232;9673;;0;0;11705
Koniarovce;15;110;3;2;16;93;15;3;522;398;15053;50;130;127;16023
Konská pri Rajci;0;0;0;0;0;0;0;0;50;8;4458;1;0;0;4517
Kopčany;0;0;0;0;0;0;1;0;297;188;8270;3;0;1;8758
Kostiviarska;0;24;0;0;0;22;0;0;1575;1067;6652;22;24;22;9316
Kostolná-Zariečie;0;0;0;0;0;0;0;0;7634;1709;37435;117;0;0;46895
Kostoľany nad Hornádom;163;353;20;2;160;378;21;4;12286;3124;55040;259;538;563;70709
Kozelník;;4;0;0;;4;0;0;;28;2307;1;4;4;2336
Kozárovce;61;265;2412;5;54;280;2845;1;68;61;540;2;2743;3180;671
Kozárovce zastávka;0;0;0;;0;0;0;;72;123;2;;0;0;197
Koš;0;0;0;0;0;0;0;0;527;612;12854;69;0;0;14062
Košeca;0;0;0;0;0;0;0;0;7843;1737;39527;168;0;0;49275
Košice;1048;1765;37750;268;3432;1758;37944;195;10348;1907;7444;15;40831;43329;19714
Košice nákladná stanica;2400;1183;2;3;93;1098;0;1;9639;2842;2;168;3588;1192;12651
Košice predmestie;0;0;0;0;0;1;0;0;5961;3093;38410;218;0;1;47682
Koškovce;0;0;981;0;0;0;989;0;90;7;5864;56;981;989;6017
Košťany nad Turcom;0;0;0;0;0;0;0;0;2160;607;15730;153;0;0;18650
Kraľovany;128;373;4210;29;87;398;4201;28;11861;1271;29969;134;4740;4714;43235
Kraľovany zastávka;0;0;0;;0;0;0;;317;229;7982;;0;0;8528
Kremnica;3;25;6;2;1;31;9;3;564;351;2987;209;36;44;4111
Kremnické Bane;5;137;12;2;105;16;15;1;417;340;2975;206;156;137;3938
Krivany;0;0;0;0;0;0;0;0;1534;869;175;2;0;0;2580
Krivá;0;0;0;;0;0;0;;203;103;7789;;0;0;8095
Kriváň;28;272;6;4;53;118;7;4;765;355;15420;19;310;182;16559
Krišovská Liesková;0;0;;;0;0;;;170;315;;;0;0;485
Križovany nad Dudváhom;2;13;0;0;4;11;0;0;615;1029;11698;21;15;15;13363
Krompachy;26;169;8;0;24;244;9;3;10945;1320;31087;82;203;280;43434
Krpeľany;0;0;0;0;0;0;0;0;11825;1687;30409;192;0;0;44113
Krupina;22;40;989;3;19;52;1016;6;170;95;1943;0;1054;1093;2208
Krupina predmestie;0;0;0;0;0;0;0;0;247;165;3971;5;0;0;4388
Krušovce;0;0;0;0;0;0;0;0;594;534;14454;59;0;0;15641
Krásna Hôrka;0;0;0;;0;0;0;;183;87;7835;;0;0;8105
Krásna nad Hornádom;179;322;1;1;187;337;1;2;5799;1937;20964;84;503;527;28784
Krásno nad Kysucou;38;53;9;25;39;52;9;26;10659;2337;30695;18;125;126;43709
Krásny Brod;0;0;0;0;0;0;0;0;174;6;5902;56;0;0;6138
Kráľova Lehota;62;295;2;3;109;275;2;6;10884;1282;24843;87;362;392;37096
Kuchyňa;0;0;1;;0;0;1;;1497;373;2;;1;1;1872
Kuklov;0;0;0;0;0;0;0;0;1669;1429;8894;2;0;0;11994
Kunova Teplica;0;0;;;0;0;;;56;8;;;0;0;64
Kuzmice;4;234;0;0;0;940;0;0;4155;1814;12303;21;238;940;18293
Kvetoslavov;3;31;1536;;3;33;1210;;4698;377;19513;;1570;1246;24588
Kvetoslavov zastávka;0;0;0;;0;0;0;;4703;411;22452;;0;0;27566
Kysak;267;979;590;9;239;1268;820;21;11653;2271;54806;258;1845;2348;68988
Kysak výh. č. 35/36;0;0;0;0;0;0;0;0;11396;2104;31816;243;0;0;45559
Kysak výh. č. 39/40;0;0;0;0;0;0;0;0;3479;2046;24782;245;0;0;30552
Kysucké Nové Mesto;145;109;5;1;142;119;10;3;10611;2189;30697;67;260;274;43564
Kátov;0;0;0;0;0;0;0;0;5;27;8211;4;0;0;8247
Kútniky;0;0;0;;0;0;0;;1789;203;9787;;0;0;11779
Kúty;4218;2909;15571;13;4317;2912;15914;17;8690;1306;10592;18;22711;23160;20606
Kľačany;0;0;0;0;0;0;0;0;1288;708;15244;1;0;0;17241
Kľače;0;0;0;0;0;0;0;0;50;8;4458;1;0;0;4517
Kľušov;0;0;0;0;0;0;0;0;170;76;7156;5;0;0;7407
Lada;0;0;0;0;0;0;0;0;1368;395;8401;54;0;0;10218
Ladce;314;200;1;0;308;222;2;2;7522;1586;39523;168;515;534;48799
Ladice;;0;0;0;;0;0;0;;183;2;2;0;0;187
Lastovce;0;0;0;0;0;0;0;0;180;713;10037;5;0;0;10935
Lastovce odb.;0;0;0;0;0;0;0;0;180;714;10037;5;0;0;10936
Laškovce;0;0;0;0;0;0;0;0;37;91;431;54;0;0;613
Lednické Rovne;37;4;5;;37;4;5;;0;0;0;;46;46;0
Lehnice;6;26;1;;4;23;188;;4700;368;20568;;33;215;25636
Lenartovce;182;96;0;0;174;108;2;0;602;293;5692;21;278;284;6608
Leopoldov;2114;1864;737;65;2098;1941;754;70;5385;1407;46236;112;4780;4863;53140
Leopoldov zastávka;0;0;0;0;0;0;0;0;1854;716;18777;1;0;0;21348
Lesy svätého Huberta - Jasov;0;0;;;0;0;;;190;79;;;0;0;269
Letanovce;0;0;0;0;0;0;0;0;11548;3188;26834;79;0;0;41649
Levice;312;300;7293;1;304;329;6983;2;115;274;3069;4;7906;7618;3462
Levoča;4;4;22;;4;4;22;;0;0;0;;30;30;0
Lietavská Lúčka;135;61;70;0;135;42;66;1;8;8;4374;1;266;244;4391
Likier;;0;0;0;;0;0;0;;29;7505;4;0;0;7538
Lipany;50;202;6892;0;50;272;6708;4;1454;681;172;2;7144;7034;2309
Lipníky;0;28;1;3;1;57;269;5;1349;358;8308;46;32;332;10061
Lipovník;3;70;1;0;0;65;5;1;1781;1325;6254;33;74;71;9393
Liptovská Teplá;14;197;0;7;15;280;0;8;10865;1063;29955;103;218;303;41986
Liptovské Vlachy;0;0;0;0;0;0;0;0;11473;1396;29961;108;0;0;42938
Liptovský Hrádok;33;274;1896;1;34;291;1900;1;11094;1031;24848;90;2204;2226;37063
Liptovský Mikuláš;125;532;7422;22;123;636;7430;29;10475;760;21806;74;8101;8218;33115
Lisková;1209;306;0;0;1251;214;0;0;10165;1126;29961;111;1515;1465;41363
Lisková zastávka;0;0;0;0;0;0;0;0;11919;1571;29961;113;0;0;43564
Ličartovce;3;313;0;0;3;24;1;0;3190;1741;24781;245;316;28;29957
Lok;3;62;558;0;6;55;529;0;552;574;11742;6;623;590;12874
Lopej;0;0;0;0;0;0;0;0;710;195;10350;38;0;0;11293
Lovinobaňa;22;21;6;0;3;45;12;0;895;364;15412;19;49;60;16690
Lovinobaňa zastávka;0;0;0;0;0;0;0;0;928;384;15414;19;0;0;16745
Lozorno;0;0;0;;0;0;0;;1514;383;4;;0;0;1901
Lubeník;124;29;;;124;15;;;86;6;;;153;139;92
Ludanice;0;22;7;0;0;22;14;2;599;397;15042;52;29;38;16090
Lučatín;0;0;0;0;0;0;0;0;733;200;10349;38;0;0;11320
Lučenec;461;154;10905;13;434;162;12563;10;347;147;2304;4;11533;13169;2802
Lučivná;0;0;0;0;0;0;0;0;11188;3036;24834;102;0;0;39160
Lužianky;328;562;908;1;606;273;1571;3;674;383;21383;47;1799;2453;22487
Lužianky TIP;703;30;;;410;313;;;0;0;;;733;723;0
Lužianky TIP brána;0;0;;;0;0;;;1113;343;;;0;0;1456
Lysá pod Makytou;0;0;0;0;0;0;0;0;968;500;10458;2;0;0;11928
Lúky pod Makytou;78;129;18;1;79;129;19;4;871;477;10453;1;226;231;11802
Lúčnica nad Žitavou;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Madunice;0;0;0;0;0;0;0;0;7385;1598;28454;113;0;0;37550
Makov;;2;4622;;;2;4626;;;0;0;;4624;4628;0
Malacky;325;177;10;0;328;181;13;0;13195;2927;24995;33;512;522;41150
Malá Lodina;69;266;16;1;65;353;16;4;10655;1588;31783;238;352;438;44264
Malá Maňa;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Malá Paka;0;0;0;;0;0;0;;4703;407;20870;;0;0;25980
Malé Ripňany;;0;0;;;0;0;;;67;8;;0;0;75
Malé Zálužie;;0;0;;;0;0;;;73;8;;0;0;81
Malý Čepčín;0;0;0;0;0;0;0;0;2147;715;15744;141;0;0;18747
Margecany;448;526;6416;74;433;505;6546;98;10759;1134;30353;79;7464;7582;42325
Margecany zastávka;0;0;0;0;0;0;0;0;11218;1705;31793;239;0;0;44955
Markušovce;10;126;4;0;9;129;5;0;11160;1669;31093;79;140;143;44001
Martin;99;163;3795;1;97;151;3799;2;1915;564;15724;153;4058;4049;18356
Martinová;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Matejovce nad Hornádom;0;0;0;0;0;0;0;0;11190;1804;31102;79;0;0;44175
Matejovce pri Poprade;1;11;0;0;1;13;0;0;388;234;11501;12;12;14;12135
Maňa;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Maňa zastávka;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Maťovce;78;73;;;78;72;;;0;0;;;151;150;0
Maťovce ŠRT;3057;1188;;;2978;1293;;;0;0;;;4245;4271;0
Medzev;89;28;;;89;29;;;0;0;;;117;118;0
Medzibrod;0;0;0;0;0;0;1;0;733;200;10347;38;0;1;11318
Medzibrodie nad Oravou;50;66;0;;81;34;0;;182;131;7987;;116;115;8300
Medzilaborce;87;3;737;12;87;3;736;12;0;0;5115;44;839;838;5159
Medzilaborce mesto;;;2853;27;;;2856;27;;;98;2;2880;2883;100
Melčice;0;0;0;0;0;0;0;0;7634;1709;37435;118;0;0;46896
Michal na Ostrove;0;0;0;;0;0;0;;4711;378;20650;;0;0;25739
Michal nad Žitavou;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Michalovce;3;8;0;0;4;7;0;0;30;84;431;54;11;11;599
Michalovce zastávka;0;0;0;0;0;0;0;0;37;91;431;54;0;0;613
Michalová;0;0;0;0;0;0;0;0;76;31;1815;23;0;0;1945
Michalová zastávka;0;0;0;0;0;0;0;0;76;31;1815;23;0;0;1945
Michaľany;117;701;5532;7;108;1397;5494;9;4334;1084;11325;15;6357;7008;16758
Michaľany odb.;0;0;0;0;0;0;0;0;5245;2009;12303;21;0;0;19578
Mikušovce;;0;;;;0;;;;2;;;0;0;2
Milhostov;0;0;0;0;0;0;0;0;350;217;3;1;0;0;571
Miloslavov;0;0;0;;0;0;0;;4703;411;22453;;0;0;27567
Mlynky;0;0;2;0;0;0;4;0;15;23;4514;6;2;4;4558
Mlynky zastávka;0;0;0;0;0;0;0;0;15;23;4521;6;0;0;4565
Mlynárce;0;0;0;0;0;0;0;0;594;393;23005;50;0;0;24042
Mníchova Lehota;12;43;8;0;2;15;8;0;222;128;2892;2;63;25;3244
Mníšek nad Hnilcom;116;6;1;0;116;4;0;0;15;76;10781;4;123;120;10876
Modra nad Cirochou;0;0;0;0;0;0;0;0;252;12;7937;56;0;0;8257
Mokrance;0;0;0;0;0;0;0;0;2686;1386;12265;65;0;0;16402
Mokraď;0;0;0;;0;0;0;;338;230;7987;;0;0;8555
Mokrá Lúka;0;0;;;0;0;;;206;6;;;0;0;212
Moldava nad Bodvou;134;348;113;11;133;356;111;14;2376;1029;12258;39;606;614;15702
Moldava nad Bodvou mesto;0;0;3124;2;0;0;3124;1;190;79;0;0;3126;3125;269
Monastyr;0;0;0;0;0;0;0;0;174;6;5902;56;0;0;6138
Moravský Svätý Ján;0;0;0;0;0;0;0;0;13755;3191;25004;32;0;0;41982
Muránska Dlhá Lúka;;0;;;;0;;;;4;;;0;0;4
Muráň;;2;;;;2;;;;0;;;2;2;0
Mužla;22;121;0;0;20;125;0;0;8035;2708;14192;115;143;145;25050
Myjava;3;79;6511;;3;81;6518;;4;30;7;;6593;6602;41
Mýtna;0;0;0;0;0;0;0;0;941;434;15438;19;0;0;16832
Mýtna Nová Ves;0;0;0;0;0;0;0;0;601;436;15065;54;0;0;16156
Nacina Ves;0;0;0;0;0;0;0;0;30;92;431;54;0;0;607
Nadabula;0;0;0;;0;0;0;;142;131;4;;0;0;277
Neded;;1;;;;1;;;;0;;;1;1;0
Nedožery;0;0;0;;0;0;0;;66;4;18;;0;0;88
Nemecká;0;0;0;0;0;0;0;0;733;200;10350;38;0;0;11321
Nemčanka;50;52;0;0;43;63;0;0;1488;1120;10141;3;102;106;12752
Nemšová;52;127;0;0;51;131;0;0;393;102;8923;1;179;182;9419
Nitra;146;94;16592;1;144;99;16591;3;416;278;27;50;16833;16837;771
Nitra zastávka;0;0;0;0;0;0;0;0;594;393;23004;50;0;0;24041
Nitrianske Pravno;33;2;9;;33;2;9;;0;0;0;;44;44;0
Nižná;0;6;30;;0;3;79;;183;87;7722;;36;82;7992
Nižná Myšľa;34;166;0;2;33;282;0;2;5715;1998;20962;78;202;317;28753
Nižná Slaná;0;28;0;;0;28;0;;98;68;2;;28;28;168
Nižná Slaná obec;0;0;0;;0;0;0;;98;124;2;;0;0;224
Nižné Ružbachy;0;0;0;0;0;0;0;0;188;18;8462;3;0;0;8671
Nižné Čabiny;0;0;0;0;0;0;0;0;174;6;5902;56;0;0;6138
Nižný Hrabovec;19;46;738;31;31;24;782;29;1220;292;6520;39;834;866;8071
Nižný Kelčov;;0;0;;;0;0;;;4;9248;;0;0;9252
Nižný Skálnik;0;0;0;0;0;0;0;0;53;92;7493;4;0;0;7642
Nosice;0;0;0;0;0;0;0;0;8480;2095;33474;199;0;0;44248
Nová Baňa;213;130;2489;0;196;132;2576;0;77;103;1947;2;2832;2904;2129
Nová Lesná;;0;0;0;;0;0;0;;24;15592;1;0;0;15617
Nová Maša;0;0;0;0;0;0;0;0;15;17;4744;1;0;0;4777
Nová Polianka;;0;0;;;0;0;;;17;14762;;0;0;14779
Nová Stráž;0;0;0;;0;0;0;;1800;232;9673;;0;0;11705
Nová Ves nad Žitavou;0;0;0;0;0;0;0;0;350;102;2681;7;0;0;3140
Nová Vieska;0;0;0;0;0;0;0;0;8067;2969;14195;137;0;0;25368
Nováky;428;239;17;1;493;232;16;1;100;265;12849;67;685;742;13281
Nové Košariská;0;8;1;;0;6;73;;4703;411;22441;;9;79;27555
Nové Mesto nad Váhom;323;517;591;7;310;536;598;5;7102;1246;36604;109;1438;1449;45061
Nové Mesto nad Váhom výh. č. 48/49;0;1;0;0;0;1;0;0;7254;1568;28452;109;1;1;37383
Nové Mesto nad Váhom výh. č. 53/54;0;0;0;0;0;0;0;0;41;559;8630;2;0;0;9232
Nové Sady;;0;1;;;0;1;;;73;6;;1;1;79
Nové Zámky;1383;2136;25376;212;1396;2086;24929;168;8922;2262;6214;24;29107;28579;17422
Nový Smokovec;;0;0;;;0;0;;;17;14780;;0;0;14797
Nálepkovo;22;27;5078;5;22;27;4967;1;15;22;2619;2;5132;5017;2658
Nálepkovo-Peklisko;0;0;0;0;0;0;0;0;15;25;4521;6;0;0;4567
Obišovce;0;0;0;0;0;0;0;0;3479;2045;24781;245;0;0;30550
Ochodnica;0;0;0;0;0;0;0;0;10760;2365;30714;69;0;0;43908
Ochtiná;;0;;;;0;;;;8;;;0;0;8
Odb. Dolná Štubňa;0;1;1;0;0;1;1;1;2260;1227;15751;108;2;3;19346
Odb. Letisko;0;0;0;;0;0;0;;5299;450;20238;;0;0;25987
Odb. Močiar;8;56;0;0;9;52;0;0;14444;3068;34219;82;64;61;51813
Odb. Potok;0;0;0;0;1;1;0;0;12823;2479;35584;369;0;2;51255
Odb. Spišská Belá;0;0;0;0;0;0;0;0;236;22;8477;5;0;0;8740
Odb. Topoľčianky;0;0;0;0;0;0;0;0;404;129;6;4;0;0;543
Odb. Vinohrady;1;127;0;0;2;120;0;0;13086;6309;63536;553;128;122;83484
Odb. Váh;402;15;0;0;418;13;1;1;18150;6564;36251;386;417;433;61351
Okoličná na Ostrove;0;0;0;;0;0;0;;1800;225;9685;;0;0;11710
Okoličné;0;0;0;0;0;0;0;0;11239;1236;28648;92;0;0;41215
Okoč;0;0;0;;0;0;0;;1798;217;9769;;0;0;11784
Olcnava;0;0;0;0;0;0;0;0;11190;1804;31102;79;0;0;44175
Ondrochov;0;0;0;0;0;0;0;0;428;335;10235;55;0;0;11053
Opatová pri Lučenci;0;0;0;;0;0;0;;28;29;8343;;0;0;8400
Oravský Podzámok;2;20;3;;2;25;162;;180;91;7690;;25;189;7961
Oravský Podzámok zastávka;0;0;0;;0;0;0;;207;95;7732;;0;0;8034
Orechová Potôň;15;15;8;;13;23;152;;4706;363;20630;;38;188;25699
Orkucany;0;0;0;0;0;0;0;0;1642;910;13980;6;0;0;16538
Orlov;0;0;0;;0;0;0;;1263;505;186;;0;0;1954
Orávka;0;0;0;0;0;0;0;0;772;242;5693;22;0;0;6729
Oslany;0;9;0;0;0;9;23;0;581;489;12842;66;9;32;13978
Ostratice;0;0;0;0;0;0;0;0;24;51;2779;3;0;0;2857
Osuské;;0;0;;;0;0;;;4;8;;0;0;12
Oščadnica;0;0;0;0;0;0;0;0;10693;2414;30696;18;0;0;43821
Palárikovo;118;335;246;4;134;326;246;8;10886;3676;26785;211;703;714;41558
Paprad;0;13;1;;0;13;2;;7;274;7983;;14;15;8264
Parchovany;0;0;0;0;0;0;0;0;159;81;3;1;0;0;244
Partizánske;0;0;0;0;0;0;0;0;580;516;12878;66;0;0;14040
Partizánske zastávka;0;0;0;0;0;0;0;0;580;516;12877;66;0;0;14039
Pastovce;0;0;0;0;0;0;0;0;25;92;1945;1;0;0;2063
Pavlovce;0;0;0;0;0;0;0;0;1367;406;8776;46;0;0;10595
Pašková;0;0;;;0;0;;;56;8;;;0;0;64
Pekná Vyhliadka;;;0;;;;0;;;;14083;;0;0;14083
Pernek pri Zohore;0;0;0;;0;0;0;;1514;373;4;;0;0;1891
Petrovce nad Laborcom;0;0;0;0;0;0;0;0;30;92;431;54;0;0;607
Pezinok;101;212;457;18;101;203;459;22;7411;2227;57610;150;788;785;67398
Pezinok zastávka;0;0;1;0;0;0;1;0;7659;2454;58473;185;1;1;68771
Pečovská Nová Ves;0;0;0;0;0;0;0;0;1634;977;13775;6;0;0;16392
Piešťany;49;107;6;1;47;109;8;2;7245;1467;28442;110;163;166;37264
Plavecké Podhradie;10;15;1;;19;5;1;;0;0;0;;26;25;0
Plavecký Štvrtok;0;0;0;0;0;0;0;0;13372;3201;25018;33;0;0;41624
Plaveč;1182;474;166;0;1041;482;166;0;210;229;188;2;1822;1689;629
Plaveč výh. č. 1/3;0;0;0;;0;0;0;;1263;505;186;;0;0;1954
Plaveč výh. č. 5/6;0;0;0;0;0;0;0;0;1534;892;175;2;0;0;2603
Plavnica;0;0;0;0;0;0;0;0;9;17;361;2;0;0;389
Plevník-Drienové;0;0;0;0;0;0;0;0;8720;2035;32934;207;0;0;43896
Plešivec;931;669;299;1;923;837;309;3;201;56;5682;23;1900;2072;5962
Pod lesom;;0;2;0;;0;3;0;;24;15590;1;2;3;15615
Podbiel;15;10;2;;13;13;54;;126;88;7729;;27;80;7943
Podbrezová;301;87;1;0;312;93;1;0;105;136;10350;38;389;406;10629
Podhorany pri Kežmarku;0;0;0;0;0;0;0;0;200;22;8470;3;0;0;8695
Podhájska;6;64;6;0;6;52;9;2;529;771;12824;6;76;69;14130
Podkriváň;0;0;0;0;0;0;0;0;941;434;15438;19;0;0;16832
Podolínec;6;1;4;0;6;3;4;0;173;18;8462;3;11;13;8656
Podrečany;0;3;3;0;0;2;3;0;928;381;15408;19;6;5;16736
Podtureň;0;0;0;0;0;0;0;0;11239;1236;28648;92;0;0;41215
Podunajské Biskupice;289;10;298;;287;11;1168;;4713;427;20205;;597;1466;25345
Podvysoká;;0;0;;;0;0;;;8;9283;;0;0;9291
Podzámčok;0;0;0;0;0;0;0;0;312;220;3902;3;0;0;4437
Pohorelská Maša;0;0;0;0;0;0;0;0;15;17;4744;1;0;0;4777
Pohorelá;0;0;0;0;0;0;0;0;15;17;4744;1;0;0;4777
Pohronská Polhora;38;10;0;0;38;10;0;0;0;11;1815;23;48;48;1849
Pohronský Ruskov;17;7;0;0;8;16;0;0;72;122;4653;1;24;24;4848
Polomka;14;2;0;0;15;2;0;0;72;36;4764;1;16;17;4873
Polomka-Hámor;0;0;0;0;0;0;0;0;78;36;4764;1;0;0;4879
Poltár;2;2;971;;3;4;981;;21;11;6211;;975;988;6243
Poluvsie;0;0;0;0;0;0;0;0;50;8;4458;1;0;0;4517
Poprad-Spišská Sobota;0;0;0;0;0;0;0;0;389;258;11501;12;0;0;12160
Poprad-Tatry;582;534;9755;46;464;578;9766;36;10958;2760;22302;60;10917;10844;36080
Poprad-Tatry TEŽ;;11;7795;4;;13;7801;2;;0;0;0;7810;7816;0
Popradské Pleso;;0;0;;;0;0;;;15;14812;;0;0;14827
Poriadie;0;52;16;;0;50;15;;7;172;7952;;68;65;8131
Porúbka;0;0;0;0;0;0;0;0;50;8;4458;1;0;0;4517
Považany;0;0;0;0;0;0;0;0;7254;1570;28451;109;0;0;37384
Považská Bystrica;149;113;275;14;150;111;277;18;8413;1947;32533;187;551;556;43080
Považská Teplá;0;0;0;0;0;0;0;0;8720;2035;32934;207;0;0;43896
Pozba;0;0;0;0;0;0;0;0;553;798;12828;6;0;0;14185
Počkaj;6;11;;;6;11;;;8;57;;;17;17;65
Prakovce;0;3;0;0;0;3;25;0;155;86;10726;4;3;28;10971
Prakovce zastávka;0;0;0;0;0;0;0;0;203;92;10734;4;0;0;11033
Pravenec;0;0;0;;0;0;0;;66;4;18;;0;0;88
Predajná;0;0;0;0;0;0;0;0;710;195;10350;38;0;0;11293
Predmier;0;0;0;0;0;0;0;0;8719;2035;32934;207;0;0;43895
Preseľany nad Nitrou zastávka;0;0;0;0;0;0;0;0;601;436;15065;54;0;0;16156
Prešov;1146;1082;14051;130;1402;944;14276;112;1490;530;12963;36;16409;16734;15019
Prešov mesto;0;0;0;0;0;0;0;0;1643;877;13962;7;0;0;16489
Pribeník;13;99;0;0;12;242;1;0;5236;1541;11523;21;112;255;18321
Pribeta;15;95;0;0;11;104;0;0;8056;2943;14197;137;110;115;25333
Priekopa;0;0;0;0;0;0;0;0;2188;845;23321;156;0;0;26510
Priekopa odb.;0;0;0;0;0;0;0;0;2195;846;23321;156;0;0;26518
Prievidza;86;242;9495;106;84;195;9511;98;1;10;4;1;9929;9888;16
Prievidza St. 3;0;0;0;0;0;0;1;0;379;262;6149;165;0;1;6955
Prievidza nákladná stanica;68;103;5;2;56;108;6;2;389;485;12853;68;178;172;13795
Pruské;0;0;1;;0;0;1;;74;8;10;;1;1;92
Príbovce-Rakovo;23;58;11;6;12;76;9;6;1977;594;15726;141;98;103;18438
Prša;0;0;0;0;0;1;0;0;694;267;6219;12;0;1;7192
Psiare;0;0;0;0;0;0;0;0;79;111;2002;2;0;0;2194
Pstruša;0;2;0;0;0;2;0;0;1554;1359;15437;28;2;2;18378
Pusté Pole;0;160;0;0;0;59;0;0;1439;771;175;2;160;59;2387
Pusté Úľany;0;0;0;0;0;0;0;0;9475;2768;37428;140;0;0;49811
Pusté Čemerné;0;0;0;0;0;0;0;0;30;92;431;54;0;0;607
Párnica;20;20;3;;23;16;13;;300;214;7961;;43;52;8475
Píla;0;0;0;0;0;0;0;0;940;434;15438;19;0;0;16831
Púchov;534;863;9389;91;544;889;9395;77;7785;1426;32313;103;10877;10905;41627
Púchov zastávka;0;0;0;0;0;0;0;0;949;712;10488;5;0;0;12154
Púchov závody;1;2;0;0;1;2;1;0;949;712;10488;5;3;4;12154
Radava;0;0;0;0;0;0;0;0;561;870;12836;8;0;0;14275
Radošina;;30;5;;;29;5;;;0;0;;35;34;0
Radvaň;1;32;7;0;2;31;10;1;1407;763;27548;42;40;44;29760
Radvaň nad Laborcom;25;0;15;0;25;1;25;0;19;6;5880;56;40;51;5961
Rajec;25;4;2228;1;25;4;2230;0;0;0;0;0;2258;2259;0
Rajecké Teplice;0;0;0;0;0;0;0;0;50;8;4458;1;0;0;4517
Rakovec;0;0;0;0;0;0;0;0;15;23;4521;6;0;0;4565
Raková;;0;0;;;0;0;;;8;9283;;0;0;9291
Raková-Zemanov;;0;0;;;0;0;;;8;9283;;0;0;9291
Rapovce;;1;;;;1;;;;0;;;1;1;0
Raslavice;0;9;39;0;0;39;58;0;170;76;7100;5;48;97;7351
Reca;0;0;0;0;0;0;0;0;9475;2768;37428;140;0;0;49811
Remäta;0;0;43;0;0;0;32;0;366;229;6562;165;43;32;7322
Revúca;103;1;;;103;1;;;0;4;;;104;104;4
Revúcka Lehota;0;0;;;0;0;;;206;6;;;0;0;212
Richnava;0;0;0;0;0;0;0;0;11159;1475;31099;85;0;0;43818
Riečka;0;0;0;0;0;0;0;0;833;427;5696;21;0;0;6977
Rimavská Baňa;27;28;1;0;26;39;9;0;0;27;7488;4;56;74;7519
Rimavská Píla;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Rimavská Seč;2;79;2;0;2;82;5;1;769;208;5687;21;83;90;6685
Rimavská Sobota;87;68;2174;2;87;58;2181;2;3;21;5305;3;2331;2328;5332
