Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
Borša;0;0;0;0;0;0;0;0;5420;1655;11530;19;0;0;18624
Bošany;0;40;17;0;0;40;18;1;594;469;14442;59;57;59;15564
Branč;0;0;0;0;0;0;0;0;421;330;10231;54;0;0;11036
Bratislava hlavná stanica;187;1383;61877;1040;193;1383;61801;994;13876;3986;7943;15;64487;64371;25820
Bratislava predmestie;81;274;0;1;197;172;0;2;14637;4867;14490;25;356;371;34019
Bratislava východ;239;698;56;174;2811;1060;420;184;3035;2482;1908;23;1167;4475;7448
Bratislava východ odch. sk. Juh;2807;2173;760;39;427;1467;412;13;1211;393;3144;8;5779;2319;4756
Bratislava východ odch. sk. Sever;245;46;0;0;213;47;3;1;54;59;2;0;291;264;115
Bratislava ÚNS výh. č. 39;1087;615;;;1155;621;;;403;128;;;1702;1776;531
Bratislava ústredná nákladná stanica;3481;1363;4;1;2964;2051;4;0;11841;4337;4374;57;4849;5019;20609
Bratislava-Lamač;124;537;0;0;126;115;0;0;13478;4670;28132;48;661;241;46328
Bratislava-Nové Mesto;392;656;11192;682;403;624;12033;712;19516;5980;21095;55;12922;13772;46646
Bratislava-Petržalka;1084;3378;10230;32;1091;3629;10704;39;4509;1379;4215;34;14724;15463;10137
Bratislava-Pálenisko;226;73;;;177;55;;;0;0;;;299;232;0
Bratislava-Rača;322;444;50;18;309;455;53;20;7490;2281;58590;191;834;837;68552
Bratislava-Vajnory;390;900;37;27;468;887;31;29;9024;2370;37388;90;1354;1415;48872
Bratislava-Vinohrady;0;0;0;0;0;2;0;0;3353;2804;50657;521;0;2;57335
Bratislava-Vinohrady2;0;0;0;0;0;0;2;0;6882;1252;32595;74;0;2;40803
Bratislava-Vrakuňa;0;0;0;;0;0;0;;5299;450;20238;;0;0;25987
Bratislava-Železná studienka;0;0;0;0;0;0;0;0;14010;4962;28132;48;0;0;47152
Brekov;0;0;0;0;0;0;0;0;856;151;7058;155;0;0;8220
Brestovany;0;0;0;0;0;1;0;0;6938;3299;46741;89;0;1;57067
Brestovec;0;0;2;;0;0;1;;7;48;5091;;2;1;5146
Breziny;0;0;0;0;0;0;0;0;311;220;3902;3;0;0;4436
Breziny nákladisko;0;0;0;0;0;0;0;0;312;220;3902;3;0;0;4437
Breznička;0;4;12;;0;8;19;;28;17;8317;;16;27;8362
Brezno;249;131;3974;37;248;134;3925;23;30;28;9667;1;4391;4330;9726
Brezno mesto;0;0;5766;0;0;0;5766;0;253;87;6579;24;5766;5766;6943
Brezno-Halny;0;2;0;0;0;2;0;0;253;83;6579;24;2;2;6939
Brezno-Rohozná;0;0;0;0;0;0;0;0;76;31;1815;23;0;0;1945
Brezová pod Bradlom;;2;4;;;2;4;;;0;0;;6;6;0
Brezová pod Bradlom zastávka;;0;0;;;0;0;;;4;8;;0;0;12
Brodno;0;0;0;0;0;0;0;0;10885;2243;30702;69;0;0;43899
Brodské;0;0;0;0;0;0;0;0;14085;3479;10481;27;0;0;28072
Brunovce;0;0;0;0;0;0;0;0;7254;1570;28452;110;0;0;37386
Brusno kúpele;0;0;0;0;0;0;0;0;733;200;10350;38;0;0;11321
Budatín odb.;0;0;0;0;0;0;0;0;10885;2243;30702;69;0;0;43899
Budkovce;103;112;;1;116;101;;0;328;591;;0;216;217;919
Bujakovo zastávka;0;0;0;0;0;0;0;0;177;52;4764;1;0;0;4994
Buková;0;0;0;0;0;0;0;0;1157;1132;10009;3;0;0;12301
Bušovce;0;0;0;0;0;0;0;0;200;22;8470;3;0;0;8695
Bystrany na Spiši;;0;0;;;0;0;;;6;144;;0;0;150
Bystričany;13;30;1;0;13;26;22;0;558;438;12804;66;44;61;13866
Bystré;0;0;0;0;0;0;0;0;1367;422;8815;41;0;0;10645
Bytča;101;117;2;7;101;130;2;9;8574;1894;32934;206;227;242;43608
Bytčica;41;15;35;0;44;14;34;0;166;109;4356;2;91;92;4633
Bzenica;0;0;0;0;0;0;0;0;622;496;10158;3;0;0;11279
Bziny;0;0;0;;0;0;0;;338;230;7987;;0;0;8555
Bzovská Lehôtka;0;0;0;0;0;0;0;0;251;165;3971;5;0;0;4392
Bzovík;0;0;0;0;0;0;0;0;216;119;1985;4;0;0;2324
Báhoň;0;0;0;0;0;0;0;0;7467;2487;57696;155;0;0;67805
Bánov;0;11;0;0;0;10;0;0;1283;656;19913;65;11;10;21917
Bánovce nad Bebravou;122;55;33;0;144;37;33;1;5;39;2829;2;210;215;2875
Bánovce nad Ondavou;60;467;3707;24;62;478;4029;27;696;474;425;7;4258;4596;1602
Bánovce nad Ondavou odb.;0;0;0;0;0;0;0;0;37;92;431;54;0;0;614
Bíňa;0;0;0;0;0;0;0;0;100;97;5112;5;0;0;5314
Bíňa zastávka;0;0;0;0;0;0;0;0;100;97;5112;5;0;0;5314
Bíňovce;0;0;0;0;0;0;0;0;1420;1138;10138;3;0;0;12699
Cerová-Lieskové;0;0;0;0;0;0;0;0;1157;1118;10009;3;0;0;12287
Cestice;0;0;0;0;0;0;0;0;2713;1410;12349;64;0;0;16536
Chmeľnica;0;0;0;0;0;0;0;0;9;17;361;2;0;0;389
Chotín;22;48;43;0;22;45;41;0;2124;1293;8903;9;113;108;12329
Chrabrany;0;0;0;0;0;0;0;0;601;402;15050;52;0;0;16105
Chrasť nad Hornádom;0;0;0;0;0;0;0;0;11190;1804;31102;79;0;0;44175
Chrenovec;0;2;8;0;0;1;12;0;379;259;6125;165;10;13;6928
Chvatimech;0;0;0;0;0;0;0;0;477;261;10352;38;0;0;11128
Chynorany;2;19;1509;3;2;19;1520;5;597;475;13513;60;1533;1546;14645
Cífer;0;47;4;1;0;52;6;4;7466;2465;57692;152;52;62;67775
Danielov dom;;0;0;;;0;0;;;17;14762;;0;0;14779
Debraď;0;0;;;0;0;;;190;79;;;0;0;269
Dedinky;0;0;1;0;0;0;1;0;15;23;4515;6;1;1;4559
Demjata;0;0;0;0;0;0;0;0;170;124;7167;5;0;0;7466
Demjata obec;0;0;0;0;0;0;0;0;170;124;7167;5;0;0;7466
Detva;0;0;0;0;0;0;0;0;974;690;15437;27;0;0;17128
Devičie;0;0;0;0;0;0;0;0;216;119;1985;4;0;0;2324
Devínska Nová Ves;1898;1202;26;8;1874;1580;32;9;11438;3022;28064;44;3134;3495;42568
Devínske Jazero;0;0;0;0;0;0;0;0;14625;3854;25021;40;0;0;43540
Diakovce;0;0;0;0;0;0;0;0;20;123;13;3;0;0;159
Diviaky;90;346;17;18;80;368;20;19;1877;608;15724;106;471;487;18315
Dlhá nad Oravou;2;29;76;;2;33;231;;192;68;7522;;107;266;7782
Dlhé nad Cirochou;3;0;45;0;3;0;45;0;246;12;7896;56;48;48;8210
Dlhé nad Cirochou obec;0;0;0;0;0;0;0;0;246;12;7954;56;0;0;8268
Dobrá;891;186;0;0;12;1044;0;0;4485;1336;11525;21;1077;1056;17367
Dobrá Niva;2;32;0;2;3;32;2;0;237;174;3902;3;36;37;4316
Dobrá Niva zastávka;0;0;0;0;0;0;0;0;309;196;3904;5;0;0;4414
Dobšinská Ľadová Jaskyňa;1;8;972;2;2;2;974;2;12;16;2571;2;983;980;2601
Dobšiná;49;34;1;;49;34;1;;0;0;0;;84;84;0
Dohňany;0;0;0;0;0;0;0;0;949;712;10488;5;0;0;12154
Dolná Seč;0;0;0;0;0;0;0;0;35;146;4588;1;0;0;4770
Dolné Hámre;0;0;0;0;0;0;0;0;485;354;7065;2;0;0;7906
Dolné Kočkovce;0;0;0;0;0;0;0;0;8206;1861;39527;170;0;0;49764
Dolné Krškany;0;0;0;0;0;0;0;0;428;358;10232;54;0;0;11072
Dolné Naštice;0;0;0;0;0;0;0;0;7;41;2833;3;0;0;2884
Dolný Bar;0;0;0;;0;0;0;;1789;203;9787;;0;0;11779
Dolný Harmanec;0;0;0;0;0;0;0;0;1575;1042;6652;22;0;0;9291
Dolný Hričov;77;93;3;4;77;97;3;8;8596;1948;32931;221;177;185;43696
Dolný Kubín;2;22;19;;2;29;42;;330;207;7933;;43;73;8470
Dolný Kubín zastávka;0;0;0;;0;0;0;;342;235;7969;;0;0;8546
Dolný Smokovec;;0;0;0;;0;0;0;;24;15593;1;0;0;15618
Dolný Štál;8;6;3;;7;8;10;;1786;203;9768;;17;25;11757
Domaníky;0;0;0;0;0;0;0;0;194;115;1985;4;0;0;2298
Drahovce zastávka;0;0;0;0;0;0;0;0;7339;1582;28454;113;0;0;37488
Drahňov;0;0;;;0;0;;;467;612;;;0;0;1079
Drienovec;0;0;0;0;0;0;0;0;2717;1299;6235;39;0;0;10290
Drienovská Nová Ves;61;175;54;1;69;200;128;2;3334;1554;24700;243;291;399;29831
Drienovská Nová Ves obec;0;0;0;0;0;0;0;0;3481;1774;24783;245;0;0;30283
Dubnica nad Váhom;22;57;2;0;13;71;5;1;7545;1777;39521;165;81;90;49008
Dubovec;0;0;0;0;0;0;0;0;772;242;5693;22;0;0;6729
Dubová;15;3;0;0;8;10;0;0;681;191;10350;38;18;18;11260
Dudince;0;0;0;0;0;0;0;0;176;108;2003;4;0;0;2291
Dulov;0;0;0;;0;0;0;;74;8;10;;0;0;92
Dunajov;0;0;0;0;0;0;0;0;10760;2365;30714;69;0;0;43908
Dunajská Streda;3271;219;9535;;3326;324;9534;;12;22;5771;;13025;13184;5805
Dvorianky;0;0;0;0;0;0;0;0;159;81;3;1;0;0;244
Dvorníky;0;0;0;0;0;0;0;0;176;108;2003;4;0;0;2291
Dvorníky-Zádiel;0;0;0;0;0;0;0;0;1859;1416;6278;37;0;0;9590
Dvory nad Žitavou;48;78;2;1;51;82;2;1;8013;3026;14197;137;129;136;25373
