;;;;KAPACITA  2025;;;;
  ŽSR vyjadruje voľnú kapacitu trate:;;;;;;;;
a)  využitím  priepustnej  výkonnosti pravidelnou vlakovou dopravou, ;;;;;;;;
b)  počtom voľných  vlakových trás.;;;;;;;;
;;;;;;;;
;Vysvetlivky:;OD   - osobná doprava;;P   - párny smer;;Ppp   - párny smer, vlaky podľa potreby;;
;;ND   - nákladná doprava;;N   - nepárny smer;;Npp   - nepárny smer, vlaky podľa potreby;;
;;;;;;;;
Trať;Traťový úsek;Obmedzujúci medzistaničný úsek;Smer;Počet  trás vlakov;;;Voľná kapacita (NVK);Stupeň obsadenia traťovej koľaje pravidelnou dopravou (So)
;;;;OD;ND;Kapacita (n);Využitie praktickej priepustnosti v % (Kvp);
;;;P;50;47;147;47;0,51
106;Vrútky;Vrútky ;Ppp;0;3;;66,2;
A;Žilina;Varín;N;51;43;159;62;0,56
;;;Npp;0;3;;59,1;
;;;P;50;42;138;45;0,52
106;Žilina;Žilina zr. st.;Ppp;0;1;;66,7;
A;Púchov;AH Príkrik;N;50;40;132;40;0,47
;;;Npp;0;2;;68,1;
;Potok odb;Žilina-Teplička;P;3;22;48;21;0,36
106;Odb Váh;Odb Váh;Ppp;0;2;;52,2;
B, C;Varín;Žilina-Teplička;N;3;23;57;26;0,34
;Odb Váh;Odb Váh;Npp;0;5;;46,0;
;;;P;46;34;133;53;0,39
106;Žilina;Krásno nad Kysucou;Ppp;0;0;;60,1;
D;Čadca;Čadca;N;45;35;137;57;0,46
;;;Npp;0;0;;58,4;
;;;P;16;27;117;;0,53
106;Čadca;Čadca;Ppp;0;0;;28;
D;Mosty u Jabl. (CZ);Mosty u Jabl. (CZ);N;16;30;;76,1;
;;;Npp;0;0;;;
;;;P;0;0;0;;0,00
106;Budatínska spojka;Žilina predmestie;Ppp;0;0;;0;
E;;Budatín odb.;N;0;0;;0,0;
;;;Npp;0;0;;;
;;;P;15;9;114;89;0,17
106;Púchov;Púchov;Ppp;0;1;;21,0;
F;Lúky pod Makytou;Lúky pod Makytou;N;15;9;117;92;0,18
;;;Npp;0;1;;20,5;
;;;P;18;7;110;85;0,19
106;Lúky pod Makytou;Lúky pod Makytou;Ppp;0;0;;22,7;
F;Horní Lideč (CZ);Horní Lideč (CZ);N;19;8;115;88;0,19
;;;Npp;0;0;;23,6;
;;;P;2;29;166;;0,78
106;Žilina-Teplička;Žilina-Tepl. odch.sk.;Ppp;0;2;;12;
G;Žilina;Žilina;N;54;65;;90,5;
;;;Npp;0;2;;;
;;;P;2;3;47;;0,19
107;Muszyna (PL);Muszyna (PL);Ppp;0;0;;37;
A;Plaveč;Plaveč;N;2;3;;21,3;
;;;Npp;0;0;;;
;;;P;19;12;88;;0,55
107;Plaveč;Lipany;Ppp;0;4;;18;
A;Prešov;Sabinov;N;18;14;;71,8;
;;;Npp;0;3;;;
;;;P;38;14;120;;0,75
107;Prešov;Prešov;Ppp;0;3;;9;
A;Kysak;Drienovská N. Ves;N;38;16;;88,7;
;;;Npp;0;2;;;
;;;P;13;2;44;;0,42
107;Strážske;Vranov nad Topľou;Ppp;0;1;;12;
D;Kapušany pri Preš.;Čierne nad Topľou;N;13;2;;68,2;
;;;Npp;0;1;;;
;;;P;23;5;101;;0,37
107;Kapušany pri Preš.;Kapušany pri Preš.;Ppp;0;1;;44;
D;Prešov;Šarišské Lúky;N;23;5;;55,4;
;;;Npp;0;0;;;
;;;P;18;43;98;33;0,45
109;Košice;Barca St 4;Ppp;0;4;;62,0;
A;Haniska pri Koš.;Haniska  pri Koš.;N;18;47;111;42;0,41
;;;Npp;0;4;;58,6;
;;;P;9;10;97;;0,33
109;Haniska pri Koš.;Moldava nad Bodvou;Ppp;0;3;;53;
A;Turňa nad Bodvou;Turňa nad Bodvou ;N;9;10;;39,2;
;;;Npp;0;3;;;
;;;P;9;8;129;;0,23
109;Turňa nad Bodvou;Výh Tunel;Ppp;0;3;;86;
A;Rožňava;Lipovník;N;9;11;;28,7;
;;;Npp;0;3;;;
;;;P;9;9;116;;0,27
109;Rožňava;Rožňava;Ppp;0;3;;72;
A;Plešivec;Slavec  jaskyňa;N;9;11;;32,8;
;;;Npp;0;3;;;
;;;P;7;10;66;;0,46
109;Barca;Čaňa;Ppp;0;0;;29;
B;Hidasnémeti (HU);Hidasnémeti (HU);N;7;13;;56,0;
;;;Npp;0;0;;;
;;;P;0;2;208;;0,05
109;Krásna nad Horn.;Krásna nad Horn.;Ppp;0;3;;193;
C;Barca St.4;Barca St.4;N;0;8;;4,8;
;;;Npp;0;2;;;
;;;P;6;0;39;;0,22
110;Margecany;Nálepkovo;Ppp;0;2;;22;
A;Červená Skala;Hnilec;N;7;0;;33,3;
;;;Npp;0;2;;;
;;;P;0;0;35;;0,00
